question,question_english,answer,answer_english,category,difficulty_level,launched_year,official_website,scheme_name,state_or_central,target_beneficiary
प्रधानमंत्री सुरक्षा बीमा योजना (PMSBY) क्या है?,What is Pradhan Mantri Suraksha Bima Yojana (PMSBY)?,यह एक दुर्घटना बीमा योजना है जो दुर्घटना के कारण मृत्यु या विकलांगता के लिए कवरेज प्रदान करती है।,It is an accident insurance scheme offering accidental death and disability cover.,Health,Easy,2015,https://www.starhealth.in/health-insurance/mahatma-jyotirao-phule-jan-arogya-yojana/,Pradhan Mantri Suraksha Bima Yojana (PMSBY),Central,All citizens
आम आदमी बीमा योजना (AABY) के लाभार्थी कौन हैं?,Who are the beneficiaries of Aam Aadmi Bima Yojana (AABY)?,यह योजना मुख्य रूप से ग्रामीण भूमिहीन परिवारों के लिए है।,This scheme is primarily for rural landless households.,Health,Easy,2007,https://labour.gov.in/schemes/aam-admi-beema-yojana,Aam Aadmi Bima Yojana (AABY),Central,Rural landless households
केंद्र सरकार स्वास्थ्य योजना (CGHS) के तहत किसे कवर किया जाता है?,Who is covered under the Central Government Health Scheme (CGHS)?,यह योजना केंद्र सरकार के कर्मचारियों और पेंशनरों के लिए है।,This scheme is for Central Government employees and pensioners.,Health,Easy,1954,https://cghs.gov.in/,Central Government Health Scheme (CGHS),Central,Government employees
कर्मचारी राज्य बीमा निगम (ESIC) योजना क्या है?,What is the Employees' State Insurance Scheme (ESIC)?,यह निजी क्षेत्र के कर्मचारियों के लिए एक स्वास्थ्य बीमा योजना है।,It is a health insurance scheme for private sector employees.,Health,Easy,1952,https://www.esic.gov.in/,Employees' State Insurance Scheme (ESIC),Central,Private sector employees
मुख्यमंत्री व्यापक स्वास्थ्य बीमा योजना किस राज्य की है?,Which state offers the Chief Minister's Comprehensive Health Insurance Scheme?,यह योजना तमिलनाडु राज्य के निवासियों के लिए है।,This scheme is for the residents of Tamil Nadu.,Health,Easy,2009,https://www.cmchistn.com/,Chief Minister's Comprehensive Health Insurance Scheme,State,Tamil Nadu residents
पश्चिम बंगाल स्वास्थ्य योजना (WBHS) के तहत कौन लाभ उठा सकता है?,Who can benefit from the West Bengal Health Scheme (WBHS)?,यह योजना पश्चिम बंगाल सरकार के कर्मचारियों के लिए है।,This scheme is for West Bengal Government employees.,Health,Easy,2008,https://healthscheme.wb.gov.in/,West Bengal Health Scheme (WBHS),State,WB Government employees
यशस्विनी स्वास्थ्य बीमा योजना किस राज्य में लागू है?,In which state is the Yeshasvini Health Insurance Scheme implemented?,यह योजना कर्नाटक राज्य के सहकारी सदस्यों के लिए है।,This scheme is for cooperative members in the state of Karnataka.,Health,Easy,2003,https://sahakara.kar.gov.in/yeshasvini.html,Yeshasvini Health Insurance Scheme,State,Cooperative members
महात्मा ज्योतिराव फुले जन आरोग्य योजना किस राज्य की है?,Which state has the Mahatma Jyotirao Phule Jan Arogya Yojana?,यह योजना महाराष्ट्र के निवासियों के लिए है।,This scheme is for the residents of Maharashtra.,Health,Easy,2012,https://www.jeevandayee.gov.in/,Mahatma Jyotirao Phule Jan Arogya Yojana (MJPJAY),State,Maharashtra residents
मुख्यमंत्री अमृतम योजना (MA) किस राज्य से संबंधित है?,Which state is the Mukhyamantri Amrutum Yojana (MA) related to?,यह योजना गुजरात के निवासियों के लिए है।,This scheme is for the residents of Gujarat.,Health,Easy,2012,https://nhm.gujarat.gov.in/mukhya-mantri-amrutam.htm,Mukhyamantri Amrutum Yojana (MA),State,Gujarat residents
कारुण्य आरोग्य सुरक्षा योजना किस राज्य में लागू है?,In which state is the Karunya Arogya Suraksha Padhathi implemented?,यह योजना केरल राज्य के निवासियों के लिए है।,This scheme is for the residents of Kerala.,Health,Easy,2012,https://sha.kerala.gov.in/,Karunya Arogya Suraksha Padhathi,State,Kerala residents
