1692,KCC के तहत क्रेडिट सीमा क्या है?,What is the credit limit under KCC?,"किसान क्रेडिट कार्ड (KCC) योजना, जिसे 1998 में भारत सरकार द्वारा शुरू किया गया था, किसानों को उनकी कृषि और संबंधित गतिविधियों के लिए समय पर और पर्याप्त ऋण सुविधा प्रदान करने का एक प्रमुख साधन है। इस योजना के तहत उपलब्ध क्रेडिट सीमा और उससे जुड़े पहलू निम्नलिखित अनुसार हैं:

1. क्रेडिट सीमा की गणना
किसान क्रेडिट कार्ड के तहत ऋण सीमा कोई निश्चित राशि नहीं है, बल्कि यह प्रत्येक किसान की विशिष्ट आवश्यकताओं के आधार पर बैंकों द्वारा निर्धारित की जाती है। सीमा की गणना मुख्य रूप से तीन कारकों पर आधारित होती है:
फसल चक्र और जोत का आकार: किसान के पास मौजूद कृषि योग्य भूमि (चाहे वह स्वयं की हो या पट्टे पर ली गई हो) और उस पर उगाई जाने वाली फसलों के प्रकार के आधार पर फसल उत्पादन खर्च (Cost of Cultivation) का आकलन किया जाता है।
पोस्ट-हार्वेस्ट खर्च: फसल कटाई के बाद के खर्चों, जैसे कि फसल की गहाई, सफाई, परिवहन और भंडारण लागत को भी सीमा में शामिल किया जाता है।
आकस्मिक आवश्यकताएं: प्राकृतिक आपदाओं या अन्य अप्रत्याशित स्थितियों से निपटने के लिए एक छोटा हिस्सा आकस्मिक जरूरतों के लिए आरक्षित किया जाता है।
इस प्रकार, कुल ऋण सीमा = फसल उत्पादन खर्च + पोस्ट-हार्वेस्ट खर्च + आकस्मिक आवश्यकताएं + उपभोक्ता आवश्यकताएं (सीमित मात्रा में) होती है।

2. अधिकतम सीमा
विभिन्न कृषि गतिविधियों के लिए ऋण सीमा अलग-अलग होती है, हालांकि सामान्य फसल उत्पादन के लिए कोई सख्त 'अधिकतम' सीमा नहीं है, यह भूमि और फसल के मूल्य पर निर्भर करता है। फिर भी, कुछ विशिष्ट गतिविधियों के लिए दिशा-निर्देश इस प्रकार हैं:
फसल उत्पादन: यह पूरी तरह से जोत के आकार और फसल के प्रकार पर निर्भर करता है। बड़े किसानों के लिए यह सीमा कई लाख रुपये तक हो सकती है।
पशुपालन और मत्स्य पालन: इन गतिविधियों के लिए ऋण सीमा परियोजना लागत के आधार पर तय की जाती है। सामान्यतः, छोटे और सीमांत किसानों के लिए भी ये सीमाएं पर्याप्त रखी गई हैं ताकि वे पशु खरीदने या तालाब विकास जैसे कार्यों को वित्त पोषित कर सकें।
सामान्य सीमा: राष्ट्रीयकृत बैंक और सहकारी संस्थाएं आमतौर पर 3 लाख रुपये तक की सीमा को बिना संपार्श्विक (collateral-free) के मंजूर करती हैं। इससे ऊपर की राशि के लिए बैंक की नीति के अनुसार संपत्ति गिरवी रखनी पड़ सकती है। कृषि और संबंधित गतिविधियों के संयोजन के लिए कुल सीमा 10 लाख रुपये या उससे अधिक भी हो सकती है, यदि परियोजना रिपोर्ट इसे उचित ठहराती है।

3. योजना का उद्देश्य और सरकार की भूमिका
इस योजना का प्राथमिक उद्देश्य किसानों को अनौपचारिक साहूकारों पर निर्भरता से मुक्त करके औपचारिक बैंकिंग प्रणाली से सस्ते दरों पर ऋण उपलब्ध कराना है।
किसानों को लाभ: किसानों को न केवल फसल उत्पादन के लिए बल्कि कृषि से जुड़ी अन्य आवश्यकताओं (जैसे बीज, उर्वरक, कीटनाशक, सिंचाई) के लिए भी एकल खिड़की से ऋण मिलता है। इस पर ब्याज दरें रियायती होती हैं, और समय पर भुगतान करने पर केंद्र सरकार द्वारा ब्याज सब्सिडी (Interest Subvention) प्रदान की जाती है, जिससे प्रभावी ब्याज दर काफी कम (वर्तमान में 4% तक) हो जाती है।
केंद्र सरकार की भूमिका: केंद्र सरकार इस योजना के लिए नीतिगत ढांचा तैयार करती है, रिजर्व बैंक ऑफ इंडिया (RBI) और नाबार्ड (NABARD) के साथ मिलकर दिशा-निर्देश जारी करती है, और ब्याज सब्सिडी का वहन करती है ताकि किसानों पर वित्तीय बोझ कम हो सके।

4. आधिकारिक स्रोत
योजना से संबंधित नवीनतम दिशा-निर्देशों, पात्रता मानदंडों और विस्तृत जानकारी के लिए किसान कृषि सहकारिता और किसान कल्याण विभाग, भारत सरकार की आधिकारिक वेबसाइट पर जा सकते हैं:
[https://agricoop.gov.in](https://agricoop.gov.in)

यह स्रोत योजना के सभी तकनीकी पहलुओं और राज्य-वार कार्यान्वयन की स्थिति के लिए प्रामाणिक जानकारी प्रदान करता है।","Farm credit card (KCC) plan, which was started by India's government in 1998, is a major means of providing farmers at time and enough loans for their farming and related activities. The following are the following areas of credit ranges.",Agriculture,Hard,1998,https://agriwelfare.gov.in/en/ViewMoreIconHome,Kisan Credit Card (KCC),Central,Farmers
1693,पीएम-किसान (PM-KISAN) योजना क्या है?,What is the PM-KISAN scheme?,"पीएम-किसान योजना के तहत, सभी भूमिधारक किसान परिवारों को 6000 रुपये प्रति वर्ष की आय सहायता प्रदान की जाती है।","Under the PM-KISAN scheme, an income support of Rs. 6000 per year is provided to all landholding farmer families.",Agriculture,Easy,2019,https://pmkisan.gov.in,PM-KISAN,Central,Farmers
1694,पीएम-केएमवाई (PM-KMY) योजना क्या है?,What is the PM-KMY scheme?,पीएम-केएमवाई योजना छोटे और सीमांत किसानों को उनकी वृद्धावस्था में 3000 रुपये की मासिक पेंशन प्रदान करती है।,The PM-KMY scheme provides a monthly pension of Rs. 3000 to small and marginal farmers in their old age.,Agriculture,Easy,2019,https://pmkmy.gov.in,PM-KMY,Central,Small and marginal farmers
1695,पीएमएफबीवाई (PMFBY) योजना क्या है?,What is the PMFBY scheme?,"पीएमएफबीवाई योजना किसानों को प्राकृतिक आपदाओं, कीटों और बीमारियों के कारण फसल के नुकसान के खिलाफ बीमा कवर प्रदान करती है।","The PMFBY scheme provides insurance cover to farmers against crop loss due to natural calamities, pests, and diseases.",Agriculture,Easy,2016,https://pmfby.gov.in,PMFBY,Central,Farmers
1696,पीएमकेएसवाई (PMKSY) योजना का उद्देश्य क्या है?,What is the objective of the PMKSY scheme?,पीएमकेएसवाई का उद्देश्य सिंचाई दक्षता बढ़ाना और पानी की उपलब्धता सुनिश्चित करना है।,The objective of PMKSY is to enhance irrigation efficiency and ensure water availability.,Agriculture,Medium,2015,https://pmksy.gov.in,PMKSY,Central,Farmers
1697,ई-नाम (e-NAM) क्या है?,What is e-NAM?,ई-नाम कृषि उपज के लिए एक एकीकृत राष्ट्रीय बाजार बनाने के लिए एक अखिल भारतीय इलेक्ट्रॉनिक ट्रेडिंग पोर्टल है।,e-NAM is a pan-India electronic trading portal to create a unified national market for agricultural produce.,Agriculture,Medium,2016,https://enam.gov.in,e-NAM,Central,Farmers
1698,कृषि अवसंरचना कोष (AIF) क्या है?,What is the Agriculture Infrastructure Fund (AIF)?,एआईएफ फसल कटाई के बाद के बुनियादी ढांचे और सामुदायिक कृषि संपत्तियों के लिए वित्तपोषण सुविधा है।,AIF is a financing facility for post-harvest infrastructure and community farming assets.,Agriculture,Hard,2020,https://agriinfra.dac.gov.in,AIF,Central,"Farmers, FPOs"
1699,पीकेवीवाई (PKVY) योजना क्या है?,What is the PKVY scheme?,पीकेवीवाई जैविक खेती और टिकाऊ कृषि पद्धतियों को बढ़ावा देने की एक योजना है।,PKVY is a scheme to promote organic farming and sustainable agricultural practices.,Agriculture,Medium,2015,https://pgsindia-ncof.gov.in,PKVY,Central,Farmers
1700,एसएमएएम (SMAM) योजना का उद्देश्य क्या है?,What is the objective of the SMAM scheme?,एसएमएएम का उद्देश्य छोटे और सीमांत किसानों तक कृषि मशीनीकरण की पहुंच बढ़ाना है।,The objective of SMAM is to increase the reach of farm mechanization to small and marginal farmers.,Agriculture,Medium,2014,https://agrimachinery.nic.in,SMAM,Central,Farmers
1701,मृदा स्वास्थ्य कार्ड योजना क्या है?,What is the Soil Health Card scheme?,यह योजना किसानों को उनकी मिट्टी की पोषक स्थिति के बारे में जानकारी प्रदान करती है और उर्वरक के उपयोग की सिफारिश करती है।,The scheme provides farmers with information on the nutrient status of their soil and recommends fertilizer use.,Agriculture,Easy,2015,https://soilhealth.dac.gov.in,Soil Health Card,Central,Farmers
