Unnamed: 0,question,question_english,answer,answer_english,category,difficulty_level,launched_year,official_website,scheme_name,state_or_central,target_beneficiary
1,पीएम विश्वकर्मा योजना क्या है?,What is PM Vishwakarma Scheme?,यह पारंपरिक कारीगरों और शिल्पकारों के कौशल को बढ़ाने और उन्हें घरेलू और वैश्विक मूल्य श्रृंखलाओं में एकीकृत करने के लिए एक योजना है।,It is a scheme aimed at improving the quality and reach of products and services of traditional artisans and craftspeople.,Finance,Easy,2023,https://pmvishwakarma.gov.in,PM Vishwakarma,Central,Traditional artisans
2,अमृत भारत स्टेशन योजना क्या है?,What is Amrit Bharat Station Scheme?,यह मौजूदा रेलवे स्टेशनों के पुनर्विकास और उन्हें यात्रियों के लिए अधिक आरामदायक और सुविधाजनक बनाने की योजना है।,Scheme to redevelop existing railway stations and make them more comfortable and convenient for passengers.,Infrastructure,Easy,2023,https://indianrailways.gov.in,Amrit Bharat Station Scheme,Central,Railway passengers
3,पीएम ई-बस सेवा क्या है?,What is PM eBus Seva?,"यह पीपीपी मॉडल के तहत 10,000 इलेक्ट्रिक बसों को तैनात करके सार्वजनिक परिवहन का समर्थन करने की एक योजना है।","It supports public transport by deploying 10,000 electric buses under a PPP model.",Transportation,Easy,2023,https://mohua.gov.in,PM eBus Seva,Central,Urban population
4,महिला सम्मान बचत प्रमाण पत्र क्या है?,What is Mahila Samman Savings Certificate?,यह भारत में महिलाओं और लड़कियों के लिए एक छोटी बचत योजना है।,It is a small savings scheme for women and girls in India.,Finance,Easy,2023,[link removed],Mahila Samman Savings Certificate,Central,Women and girls
5,अग्निपथ योजना क्या है?,What is Agnipath Scheme?,"यह सशस्त्र बलों में सैनिकों की भर्ती के लिए एक योजना है, जिसमें चार साल के लिए 'अग्निवीर' के रूप में भर्ती की जाती है।",It is a scheme for recruiting soldiers into the armed forces for a fixed term of four years as 'Agniveers'.,Defense,Easy,2022,https://mod.gov.in,Agnipath Scheme,Central,Youth
6,पीएम पोषण शक्ति निर्माण अभियान क्या है?,What is PM Poshan Shakti Nirman Abhiyaan?,यह स्कूली बच्चों को मुफ्त दोपहर का भोजन प्रदान करने के लिए मिड-डे मील योजना का नया रूप है।,It is a revamped version of the Midday Meal Scheme to provide free lunch to school children.,Education,Easy,2021,https://education.gov.in,PM Poshan,Central,School children
7,पीएम स्वनिधि योजना क्या है?,What is PM SVANidhi?,यह शहरी क्षेत्रों में स्ट्रीट वेंडर्स को कार्यशील पूंजी ऋण प्रदान करने की एक योजना है।,It provides working capital loans to street vendors in urban areas.,Finance,Easy,2020,https://pmsvanidhi.mohua.gov.in,PM SVANidhi,Central,Street vendors
8,स्वामित्व योजना क्या है?,What is Svamitva Yojana?,"यह ड्रोन की मदद से गांवों में संपत्तियों के मानचित्रण की एक योजना है, जिससे संपत्ति विवाद कम होते हैं।",It aims to help in mapping of properties in villages with the help of drones to reduce property disputes.,Rural Development,Easy,2020,https://svamitva.nic.in,Svamitva Yojana,Central,Rural property owners
9,पीएम मत्स्य संपदा योजना क्या है?,What is PM Matsya Sampada Yojana?,यह मत्स्य पालन क्षेत्र में किसानों के लिए देशव्यापी कल्याणकारी उपायों की एक योजना है।,Nationwide welfare measures for farmers in the fisheries sector.,Agriculture,Easy,2020,https://pmmsy.dof.gov.in,PM Matsya Sampada Yojana,Central,Fishermen
10,पीएम किसान सम्मान निधि क्या है?,What is PM Kisan Samman Nidhi?,"यह पात्र किसानों को प्रत्यक्ष लाभ हस्तांतरण के माध्यम से प्रति वर्ष ₹6,000 की आय सहायता प्रदान करता है।","Income support of ₹6,000 per year to eligible farmers through Direct Benefit Transfer.",Agriculture,Easy,2019,https://pmkisan.gov.in,PM Kisan Samman Nidhi,Central,Farmers
11,जल जीवन मिशन क्या है?,What is Jal Jeevan Mission?,यह व्यक्तिगत नलों के माध्यम से प्रत्येक ग्रामीण घर को पानी उपलब्ध कराने का एक मिशन है।,To provide water to each rural household through individual taps.,Rural Development,Easy,2019,https://jaljeevanmission.gov.in,Jal Jeevan Mission,Central,Rural households
12,आयुष्मान भारत योजना क्या है?,What is Ayushman Bharat Yojana?,यह पात्र परिवारों को प्रति वर्ष ₹5 लाख तक का स्वास्थ्य बीमा कवर प्रदान करता है।,It provides health insurance cover of up to ₹5 lakh per eligible family per year.,Health,Easy,2018,https://pmjay.gov.in,Ayushman Bharat Yojana,Central,Poor families
13,प्रधानमंत्री आवास योजना क्या है?,What is Pradhan Mantri Awas Yojana?,यह शहरी और ग्रामीण गरीबों को किफायती आवास प्रदान करने की एक योजना है।,It aims to provide affordable housing for all urban and rural poor.,Housing,Easy,2015,https://pmaymis.gov.in,Pradhan Mantri Awas Yojana,Central,Urban and rural poor
14,प्रधानमंत्री जन धन योजना क्या है?,What is Pradhan Mantri Jan Dhan Yojana?,यह वित्तीय समावेशन के लिए एक राष्ट्रीय मिशन है जो सभी को बैंकिंग सुविधाएं प्रदान करता है।,It is a national mission for financial inclusion to ensure access to financial services.,Finance,Easy,2014,https://pmjdy.gov.in,Pradhan Mantri Jan Dhan Yojana,Central,Unbanked population
15,प्रधानमंत्री मुद्रा योजना क्या है?,What is Pradhan Mantri Mudra Yojana?,यह छोटे उद्यमियों को वित्तीय सहायता प्रदान करने के लिए एक योजना है।,Financial support to small businesses and entrepreneurs.,Finance,Easy,2015,https://mudra.org.in,Pradhan Mantri Mudra Yojana,Central,Small entrepreneurs
16,स्टैंड अप इंडिया क्या है?,What is Stand Up India?,यह महिलाओं और अनुसूचित जाति/जनजाति के उद्यमियों को ऋण की सुविधा प्रदान करने की योजना है।,It facilitates bank loans to women and SC/ST entrepreneurs for setting up greenfield enterprises.,Finance,Easy,2016,[link removed],Stand Up India,Central,Women and SC/ST entrepreneurs
17,सुकन्या समृद्धि योजना क्या है?,What is Sukanya Samridhi Yojana?,यह बालिकाओं के भविष्य को सुरक्षित करने के लिए एक छोटी बचत योजना है।,It is a small deposit scheme for the girl child to secure her future.,Finance,Easy,2015,https://www.indiapost.gov.in,Sukanya Samridhi Yojana,Central,Girl child
18,स्वच्छ भारत अभियान क्या है?,What is Swachh Bharat Abhiyan?,यह भारत को स्वच्छ बनाने और खुले में शौच मुक्त करने का एक राष्ट्रीय अभियान है।,"A national campaign to clean the streets, roads and infrastructure of India's cities and towns.",Environment,Easy,2014,https://swachhbharatmission.gov.in,Swachh Bharat Abhiyan,Central,General public
19,डिजिटल इंडिया क्या है?,What is Digital India?,यह भारत को डिजिटल रूप से सशक्त समाज और ज्ञान अर्थव्यवस्था में बदलने का एक अभियान है।,A campaign to transform India into a digitally empowered society and knowledge economy.,Technology,Easy,2015,https://digitalindia.gov.in,Digital India,Central,General public
20,स्किल इंडिया मिशन क्या है?,What is Skill India Mission?,यह युवाओं को कौशल विकास और प्रमाणन प्रदान करने की एक पहल है।,An initiative to provide skill development and certification to the youth.,Education,Easy,2015,[link removed],Skill India Mission,Central,Youth
