question,question_english,answer,answer_english,category,difficulty_level,launched_year,official_website,scheme_name,state_or_central,target_beneficiary
आयुष्मान भारत योजना (PM-JAY) क्या है?,What is Ayushman Bharat Yojana (PM-JAY)?,आयुष्मान भारत योजना दुनिया का सबसे बड़ा स्वास्थ्य बीमा कार्यक्रम है। यह प्रति परिवार ₹5 लाख तक का स्वास्थ्य कवर प्रदान करता है।,Ayushman Bharat Yojana is the world's largest health insurance program. It provides health coverage of up to ₹5 lakh per family each year.,Health,Easy,2018,https://pmjay.gov.in,Ayushman Bharat Yojana,Central,"Low-income families, Senior citizens above 70"
अटल पेंशन योजना क्या है?,What is Atal Pension Yojana?,"यह योजना असंगठित क्षेत्र के श्रमिकों के लिए दीर्घकालिक सेवानिवृत्ति सुरक्षा पर केंद्रित है, जो 60 वर्ष की आयु के बाद पेंशन प्रदान करती है।","This scheme focuses on long-term retirement security for unorganized sector workers, providing pension after age 60.",Finance,Easy,2015,https://myscheme.gov.in,Atal Pension Yojana,Central,Unorganized sector workers
प्रधानमंत्री जीवन ज्योति बीमा योजना क्या है?,What is Pradhan Mantri Jeevan Jyoti Bima Yojana?,यह योजना एक किफायती जीवन बीमा कवरेज प्रदान करती है।,This scheme provides an affordable life insurance coverage through low-cost annual premiums.,Finance,Easy,2015,https://myscheme.gov.in,Pradhan Mantri Jeevan Jyoti Bima Yojana,Central,Citizens aged 18-50 years
प्रधानमंत्री सुरक्षा बीमा योजना क्या है?,What is Pradhan Mantri Suraksha Bima Yojana?,यह योजना किफायती दुर्घटना बीमा कवरेज प्रदान करती है।,"This scheme provides affordable accident insurance coverage through simple, low-cost annual premiums.",Finance,Easy,2015,https://myscheme.gov.in,Pradhan Mantri Suraksha Bima Yojana,Central,Citizens aged 18-70 years
प्रधानमंत्री मातृ वंदना योजना क्या है?,What is Pradhan Mantri Matritva Vandana Yojana?,"यह योजना गर्भवती और स्तनपान कराने वाली माताओं को ₹6,000 का नकद लाभ प्रदान करती है।","This scheme supports pregnant and lactating mothers with a cash benefit of at least ₹6,000.",Women and Child,Easy,2017,https://pmmvy.wcd.gov.in,Pradhan Mantri Matritva Vandana Yojana,Central,Pregnant and lactating mothers
प्रधानमंत्री जन धन योजना क्या है?,What is Pradhan Mantri Jan Dhan Yojana?,"यह योजना वित्तीय समावेशन की नींव है, जो बुनियादी बचत बैंक खाते प्रदान करती है।","This scheme serves as the foundation of financial inclusion, providing basic savings bank accounts.",Finance,Easy,2014,https://pmjdy.gov.in,Pradhan Mantri Jan Dhan Yojana,Central,Unbanked citizens
प्रधानमंत्री मुद्रा योजना क्या है?,What is Pradhan Mantri Mudra Yojana?,यह योजना सूक्ष्म और छोटे उद्यमों को ₹20 लाख तक के संपार्श्विक-मुक्त ऋण प्रदान करके उद्यमिता को बढ़ावा देती है।,This scheme promotes entrepreneurship by offering collateral-free loans of up to ₹20 lakh to micro and small enterprises.,Finance,Easy,2015,https://www.mudra.org.in,Pradhan Mantri Mudra Yojana,Central,Micro and small enterprises
पीएम किसान सम्मान निधि क्या है?,What is PM Kisan Samman Nidhi?,"यह योजना पात्र किसान परिवारों को सालाना ₹6,000 प्रदान करती है।","This scheme provides ₹6,000 annually to eligible farmer families in three direct installments.",Agriculture,Easy,2019,https://pmkisan.gov.in,PM Kisan Samman Nidhi,Central,Farmer families
जल जीवन मिशन क्या है?,What is Jal Jeevan Mission?,इसका उद्देश्य ग्रामीण क्षेत्रों में कार्यात्मक घरेलू नल कनेक्शन के माध्यम से सुरक्षित पेयजल उपलब्ध कराना है।,It aims to provide safe drinking water through functional household tap connections in rural areas.,Rural Development,Easy,2019,https://myscheme.gov.in,Jal Jeevan Mission,Central,Rural households
प्रधानमंत्री आवास योजना-ग्रामीण क्या है?,What is Pradhan Mantri Awas Yojana-Gramin?,यह एक ग्रामीण आवास योजना है जिसका उद्देश्य सभी के लिए पक्के घर उपलब्ध कराना है।,It is a rural housing scheme aimed at providing pucca houses with basic amenities for all.,Rural Development,Easy,2016,https://myscheme.gov.in,Pradhan Mantri Awas Yojana-Gramin,Central,Rural citizens living in kutcha houses
स्टैंड-अप इंडिया योजना क्या है?,What is Stand-Up India Scheme?,यह योजना महिलाओं और एससी/एसटी उधारकर्ताओं को नए उद्यम स्थापित करने के लिए बैंक ऋण की सुविधा प्रदान करती है।,This scheme supports entrepreneurship by facilitating bank loans for women and SC/ST borrowers to set up new enterprises.,Employment,Easy,2016,https://www.standupmitra.in,Stand-Up India Scheme,Central,Women and SC/ST entrepreneurs
अग्निपथ योजना क्या है?,What is Agnipath Scheme?,यह भारतीय सशस्त्र बलों में युवाओं की भर्ती के लिए एक रक्षा नीति सुधार है।,It is a defence policy reform for the recruitment of youth into the Indian Armed Forces.,Employment,Easy,2022,https://mod.gov.in,Agnipath Scheme,Central,Youth of India
अटल भूजल योजना क्या है?,What is Atal Bhujal Yojana?,यह योजना भूजल प्रबंधन में सुधार के लिए है।,This scheme is for improving groundwater management through community participation.,Rural Development,Easy,2019,https://ataljal.mowr.gov.in,Atal Bhujal Yojana,Central,Water stressed areas
डिजिटल इंडिया क्या है?,What is Digital India?,यह भारत को डिजिटल रूप से सशक्त समाज और ज्ञान अर्थव्यवस्था में बदलने का एक प्रमुख कार्यक्रम है।,It is a flagship programme to transform India into a digitally empowered society and knowledge economy.,Schemes,Easy,2015,https://digitalindia.gov.in,Digital India,Central,Citizens of India
महिला सम्मान बचत प्रमाण पत्र क्या है?,What is Mahila Samman Savings Certificate?,यह महिलाओं और लड़कियों के लिए एक छोटी बचत योजना है।,It is a small savings scheme for women and girls to encourage financial independence.,Finance,Easy,2023,https://myscheme.gov.in,Mahila Samman Savings Certificate,Central,Women and girls
मिशन कर्मयोगी क्या है?,What is Mission Karmayogi?,यह सिविल सेवकों के लिए एक राष्ट्रीय क्षमता निर्माण कार्यक्रम है।,It is a national capacity building programme for civil servants to enhance their skills.,Schemes,Easy,2020,https://myscheme.gov.in,Mission Karmayogi,Central,Civil servants
पीएम पोषण योजना क्या है?,What is PM POSHAN?,यह सरकारी स्कूलों में बच्चों को पौष्टिक भोजन प्रदान करने की एक योजना है।,It is a scheme to provide nutritious meals to children in government schools.,Education,Easy,2021,https://myscheme.gov.in,PM POSHAN,Central,School children
अमृत 2.0 क्या है?,What is AMRUT 2.0?,यह पेयजल और शहरी जल सुरक्षा के लिए एक शहरी बुनियादी ढांचा कार्यक्रम है।,"It is an urban infrastructure programme for drinking water, sewerage, and urban water security.",Schemes,Easy,2021,https://myscheme.gov.in,AMRUT 2.0,Central,Urban citizens
मनरेगा क्या है?,What is MGNREGA?,यह योजना ग्रामीण परिवारों को एक वित्तीय वर्ष में 100 दिनों के रोजगार की गारंटी देती है।,This scheme guarantees 100 days of wage employment in a financial year to rural households.,Rural Development,Easy,2005,https://nrega.nic.in,Mahatma Gandhi NREGA,Central,Rural households
