question,question_english,answer,answer_english,category,difficulty_level,launched_year,official_website,scheme_name,state_or_central,target_beneficiary
MGNREGA क्या है?,What is MGNREGA?,यह ग्रामीण परिवारों को प्रति वर्ष कम से कम 100 दिनों के रोजगार की गारंटी देता है।,It guarantees at least 100 days of wage employment per year to rural households.,Rural Development,Easy,2005,https://nrega.nic.in,Mahatma Gandhi National Rural Employment Guarantee Act,Central,Rural Households
PMAY-G क्या है?,What is PMAY-G?,यह ग्रामीण गरीबों के लिए घर बनाने के लिए वित्तीय सहायता प्रदान करता है।,It provides financial assistance for constructing houses for the rural poor.,Rural Development,Easy,2016,[link removed],Pradhan Mantri Awas Yojana - Gramin,Central,Rural Poor
PMGSY क्या है?,What is PMGSY?,यह हर मौसम में अनुकूल सड़कों का निर्माण करके ग्रामीण संपर्क में सुधार करने पर केंद्रित है।,It focuses on improving rural connectivity by constructing all-weather roads.,Rural Development,Easy,2000,https://pmgsy.nic.in,Pradhan Mantri Gram Sadak Yojana,Central,Rural Population
PM-KISAN क्या है?,What is PM-KISAN?,"यह योजना पात्र किसानों को प्रति वर्ष ₹6,000 की वित्तीय सहायता प्रदान करती है।","This scheme provides financial support of ₹6,000 per year to eligible farmers.",Agriculture,Easy,2019,https://pmkisan.gov.in,Pradhan Mantri Kisan Samman Nidhi,Central,Farmers
PMFBY क्या है?,What is PMFBY?,यह फसल बीमा योजना किसानों को प्राकृतिक आपदाओं के कारण होने वाले नुकसान से बचाती है।,This crop insurance scheme protects farmers against losses due to natural calamities.,Agriculture,Easy,2016,https://pmfby.gov.in,Pradhan Mantri Fasal Bima Yojana,Central,Farmers
स्वच्छ भारत मिशन - ग्रामीण क्या है?,What is Swachh Bharat Mission – Gramin?,यह योजना ग्रामीण क्षेत्रों में स्वच्छता में सुधार और खुले में शौच को खत्म करने पर केंद्रित है।,This scheme focuses on improving sanitation in rural areas and eliminating open defecation.,Rural Development,Easy,2014,https://swachhbharatmission.gov.in,Swachh Bharat Mission – Gramin,Central,Rural Households
जल जीवन मिशन क्या है?,What is Jal Jeevan Mission?,मिशन का उद्देश्य हर ग्रामीण घर में साफ और सुरक्षित पीने का पानी उपलब्ध कराना है।,The mission aims to provide clean and safe drinking water to every rural household.,Rural Development,Easy,2019,https://jaljeevanmission.gov.in,Jal Jeevan Mission,Central,Rural Households
DDU-GKY क्या है?,What is DDU-GKY?,यह योजना ग्रामीण युवाओं के लिए कौशल विकास और रोजगार पर केंद्रित है।,This scheme focuses on skill development and employment for rural youth.,Employment,Medium,2014,[link removed],Deen Dayal Upadhyaya Grameen Kaushalya Yojana,Central,Rural Youth
आयुष्मान भारत PM-JAY क्या है?,What is Ayushman Bharat PM-JAY?,यह स्वास्थ्य बीमा योजना आर्थिक रूप से कमजोर वर्गों के लिए प्रति परिवार ₹5 लाख का स्वास्थ्य कवर प्रदान करती है।,This health insurance scheme provides ₹5 lakh health coverage per family for economically weaker sections.,Health,Easy,2018,https://pmjay.gov.in,Ayushman Bharat – Pradhan Mantri Jan Arogya Yojana,Central,Economically Weaker Sections
राष्ट्रीय ग्राम स्वराज अभियान क्या है?,What is Rashtriya Gram Swaraj Abhiyan?,यह योजना पंचायती राज संस्थाओं को सशक्त बनाकर ग्रामीण क्षेत्रों में स्थानीय शासन को मजबूत करती है।,This scheme strengthens local governance in rural areas by empowering Panchayati Raj institutions.,Rural Development,Medium,2018,https://rgsa.nic.in,Rashtriya Gram Swaraj Abhiyan,Central,Panchayati Raj Institutions
इंदिरा गांधी राष्ट्रीय विकलांगता पेंशन योजना क्या है?,What is Indira Gandhi National Disability Pension Scheme?,यह गरीब परिवार से संबंधित 18 वर्ष और उससे अधिक आयु के दिव्यांगजनों को सामाजिक सुरक्षा पेंशन प्रदान करता है।,It provides social security pensions to divyangjans aged 18 and above who belong to a poor family.,Social Welfare,Medium,2009,[link removed],Indira Gandhi National Disability Pension Scheme,Central,BPL Divyangjans
प्रधान मंत्री ग्रामीण विकास फेलो योजना क्या है?,What is Prime Minister's Rural Development Fellows Scheme?,यह कार्यक्रम वितरण में सुधार के लिए पिछड़े जिलों में जिला प्रशासन को अल्पकालिक उत्प्रेरक सहायता प्रदान करता है।,It provides short term catalytic support to District Administration in backward districts to improve programme delivery.,Rural Development,Hard,2011,[link removed],Prime Minister's Rural Development Fellows Scheme,Central,Rural Youth and Administration
इंदिरा गांधी राष्ट्रीय विधवा पेंशन योजना क्या है?,What is Indira Gandhi National Widow Pension Scheme?,गरीब परिवार (BPL) की विधवाओं को सामाजिक सुरक्षा प्रदान करने के लिए एक गैर-अंशदायी पेंशन योजना।,A non-contributory pension scheme to provide social security to widows of poor family (BPL).,Social Welfare,Medium,2009,[link removed],Indira Gandhi National Widow Pension Scheme,Central,BPL Widows
इंदिरा गांधी राष्ट्रीय वृद्धावस्था पेंशन योजना क्या है?,What is Indira Gandhi National Old Age Pension Scheme?,गरीबी रेखा से नीचे रहने वाले और 60 वर्ष या उससे अधिक आयु के नागरिकों को इस योजना के तहत मासिक पेंशन मिलती है।,Citizens living Below Poverty Line and 60 years or above get a monthly pension under this scheme.,Social Welfare,Easy,1995,[link removed],Indira Gandhi National Old Age Pension Scheme,Central,BPL Senior Citizens
राष्ट्रीय परिवार लाभ योजना क्या है?,What is National Family Benefit Scheme?,प्राथमिक कमाने वाले की मृत्यु के मामले में शोक संतप्त परिवारों को वित्तीय सहायता प्रदान की जाती है।,Financial assistance is provided to bereaved households in case of the death of the primary breadwinner.,Social Welfare,Medium,1995,[link removed],National Family Benefit Scheme,Central,BPL Families
राष्ट्रीय कृषि बाजार (eNAM) क्या है?,What is National Agriculture Market (eNAM)?,यह एक अखिल भारतीय इलेक्ट्रॉनिक ट्रेडिंग पोर्टल है जो कृषि वस्तुओं के लिए एक एकीकृत राष्ट्रीय बाजार बनाने के लिए मौजूदा APMC मंडियों को नेटवर्क करता है।,It is a pan-India electronic trading portal which networks the existing APMC mandis to create a unified national market for agricultural commodities.,Agriculture,Medium,2016,https://enam.gov.in,National Agriculture Market,Central,Farmers
मृदा स्वास्थ्य कार्ड योजना क्या है?,What is Soil Health Card Scheme?,इसका उद्देश्य किसानों को कम लागत पर अधिक उपज प्राप्त करने में सक्षम बनाने के लिए मिट्टी परीक्षण आधारित और उर्वरकों के संतुलित उपयोग को बढ़ावा देना है।,It aims at promoting soil test based and balanced use of fertilisers to enable farmers to realize higher yields at lower cost.,Agriculture,Easy,2015,https://soilhealth.dac.gov.in,Soil Health Card Scheme,Central,Farmers
प्रधान मंत्री मत्स्य संपदा योजना क्या है?,What is Pradhan Mantri Matsya Sampada Yojana?,यह भारत में मत्स्य पालन क्षेत्र के सतत और जिम्मेदार विकास के माध्यम से नीली क्रांति लाने की एक योजना है।,It is a scheme to bring about Blue Revolution through sustainable and responsible development of fisheries sector in India.,Agriculture,Medium,2020,https://pmmsy.dof.gov.in,Pradhan Mantri Matsya Sampada Yojana,Central,Fish Farmers
प्रधान मंत्री भारतीय जनऔषधि परियोजना क्या है?,What is Pradhan Mantri Bhartiya Janaushadhi Pariyojana?,जन-जन को सस्ती कीमतों पर गुणवत्तापूर्ण दवाएं उपलब्ध कराने के लिए फार्मास्युटिकल विभाग द्वारा शुरू किया गया एक अभियान।,A campaign launched by the Department of Pharmaceuticals to provide quality medicines at affordable prices to the masses.,Health,Easy,2008,https://janaushadhi.gov.in,Pradhan Mantri Bhartiya Janaushadhi Pariyojana,Central,All Citizens
सांसद आदर्श ग्राम योजना क्या है?,What is Saansad Adarsh Gram Yojana?,"एक ग्रामीण विकास कार्यक्रम जो मुख्य रूप से गांवों में विकास पर केंद्रित है जिसमें सामाजिक विकास, सांस्कृतिक विकास और ग्राम समुदाय के सामाजिक लामबंदी पर लोगों के बीच प्रेरणा फैलाना शामिल है।","A rural development programme broadly focusing upon the development in the villages which includes social development, cultural development and spread motivation among the people on social mobilization of the village community.",Rural Development,Medium,2014,https://saanjhi.gov.in,Saansad Adarsh Gram Yojana,Central,Rural Villages
