Unnamed: 0,question,question_english,answer,answer_english,category,difficulty_level,launched_year,official_website,scheme_name,state_or_central,target_beneficiary
1,बेटी बचाओ बेटी पढ़ाओ (BBBP) योजना क्या है?,What is the Beti Bachao Beti Padhao (BBBP) scheme?,"यह बालिकाओं के अस्तित्व, संरक्षण और शिक्षा को सुनिश्चित करने के लिए एक केंद्र सरकार की योजना है।","It is a central government scheme to ensure the survival, protection, and education of the girl child.",Women and Child,Easy,2015,https://events.wcd.gov.in/registration/,Beti Bachao Beti Padhao,Central,Girl Child
2,सुकन्या समृद्धि योजना (SSY) क्या है?,What is Sukanya Samriddhi Yojana (SSY)?,यह बालिकाओं के भविष्य की शिक्षा और विवाह के खर्चों को सुरक्षित करने के लिए एक उच्च ब्याज वाली बचत योजना है।,It is a high-interest savings scheme to secure the future education and marriage expenses of a girl child.,Women and Child,Easy,2015,https://www.nsiindia.gov.in,Sukanya Samriddhi Yojana,Central,Girl Child
3,बालिका समृद्धि योजना का उद्देश्य क्या है?,What is the objective of Balika Samridhi Yojana?,यह बीपीएल परिवारों की लड़कियों को जन्म के समय ₹500 और शिक्षा के लिए छात्रवृत्ति प्रदान करती है।,It provides ₹500 at birth and annual scholarships for education to girls from BPL families.,Women and Child,Medium,1997,https://www.myscheme.gov.in/hi/schemes/bsy-pudu,Balika Samridhi Yojana,Central,Girl Child (BPL)
4,सीबीएसई उड़ान योजना क्या है?,What is the CBSE Udaan Scheme?,यह 11वीं और 12वीं कक्षा की छात्राओं को इंजीनियरिंग प्रवेश परीक्षा की तैयारी के लिए मुफ्त अध्ययन सामग्री प्रदान करती है।,It provides free study material to class 11 and 12 girl students to prepare for engineering entrance exams.,Women and Child,Medium,2014,https://www.govtschemes.in/cbse-udaan-scheme,CBSE Udaan Scheme,Central,Girl Students
5,माध्यमिक शिक्षा के लिए लड़कियों को प्रोत्साहन की राष्ट्रीय योजना क्या है?,What is the National Scheme of Incentive to Girls for Secondary Education?,"यह 8वीं कक्षा उत्तीर्ण करने वाली एससी/एसटी लड़कियों को ₹3,000 की सावधि जमा (फिक्स्ड डिपॉजिट) प्रदान करती है।","It provides a fixed deposit of ₹3,000 to SC/ST girls who pass Class 8.",Women and Child,Medium,2008,https://education.gov.in,National Scheme of Incentive to Girls for Secondary Education,Central,SC/ST Girls
6,एकल बालिका के लिए सीबीएसई मेरिट छात्रवृत्ति क्या है?,What is the CBSE Merit Scholarship for Single Girl Child?,यह 10वीं कक्षा में 60% से अधिक अंक प्राप्त करने वाली एकल बालिकाओं को दो वर्ष तक ₹500 प्रतिमाह प्रदान करती है।,It provides ₹500 per month for two years to single girl children who score more than 60% in Class 10.,Women and Child,Easy,2006,https://cbse.gov.in,CBSE Merit Scholarship for Single Girl Child,Central,Single Girl Child
7,कस्तूरबा गांधी बालिका विद्यालय (KGBV) योजना क्या है?,What is the Kasturba Gandhi Balika Vidyalaya (KGBV) scheme?,"यह ग्रामीण और वंचित लड़कियों के लिए मुफ्त आवासीय स्कूली शिक्षा, भोजन और किताबें प्रदान करती है।","It provides free residential schooling, food, and books for rural and disadvantaged girls.",Women and Child,Easy,2004,https://education.gov.in,Kasturba Gandhi Balika Vidyalaya,Central,Rural Girls
8,लाडली लक्ष्मी योजना (मध्य प्रदेश) क्या है?,What is Ladli Lakshmi Yojana (Madhya Pradesh)?,"यह योजना लड़कियों को कक्षा 6 से 12 तक वित्तीय सहायता और उच्च शिक्षा के लिए ₹25,000 प्रदान करती है।","This scheme provides financial support to girls from Class 6 to 12 and ₹25,000 for higher education.",Women and Child,Medium,2007,https://ladlilaxmi.mp.gov.in,Ladli Lakshmi Yojana,State,Girl Child
9,मुख्यमंत्री राजश्री योजना क्या है?,What is Mukhyamantri Rajshri Yojana?,"यह राजस्थान में बालिकाओं को जन्म से लेकर स्नातक तक विभिन्न चरणों में कुल ₹50,000 का लाभ प्रदान करती है।","It provides a total benefit of ₹50,000 in stages from birth to graduation for girls in Rajasthan.",Women and Child,Medium,2016,https://wcd.rajasthan.gov.in,Mukhyamantri Rajshri Yojana,State,Girl Child
10,दिल्ली लाडली योजना क्या है?,What is the Delhi Ladli Scheme?,"यह आर्थिक रूप से कमजोर परिवारों की लड़कियों को विभिन्न चरणों में ₹5,000 से ₹11,000 तक की वित्तीय सहायता प्रदान करती है।","It provides financial assistance ranging from ₹5,000 to ₹11,000 at different stages to girls from economically weaker families.",Women and Child,Medium,2008,https://www.govtschemes.in/delhi-ladli-scheme,Delhi Ladli Scheme,State,Girl Child
11,माझी कन्या भाग्यश्री योजना क्या है?,What is Mazi Kanya Bhagyashree Yojana?,यह महाराष्ट्र में 18 वर्ष की आयु में लड़कियों को वित्तीय सहायता प्रदान करती है और छोटे परिवार के मानदंड को बढ़ावा देती है।,It provides financial support to girls at age 18 in Maharashtra and promotes the small family norm.,Women and Child,Medium,2016,https://womenchild.maharashtra.gov.in,Mazi Kanya Bhagyashree,State,Girl Child
