Unnamed: 0,question,question_english,answer,answer_english,category,difficulty_level,launched_year,official_website,scheme_name,state_or_central,target_beneficiary
1,समग्र शिक्षा अभियान क्या है?,What is Samagra Shiksha Abhiyan?,यह स्कूली शिक्षा के लिए एक एकीकृत योजना है जो प्री-स्कूल से लेकर बारहवीं कक्षा तक शिक्षा की गुणवत्ता में सुधार लाने पर केंद्रित है।,It is an integrated scheme for school education focusing on improving the quality of education from pre-school to class XII.,Education,Easy,2018,https://samagra.education.gov.in/,Samagra Shiksha Abhiyan,Central,School students
2,शिक्षा का अधिकार (RTE) अधिनियम क्या है?,What is the Right to Education (RTE) Act?,यह 6 से 14 वर्ष की आयु के बच्चों के लिए मुफ्त और अनिवार्य शिक्षा सुनिश्चित करता है।,It ensures free and compulsory education for children aged 6 to 14 years.,Education,Easy,2009,https://dsel.education.gov.in/rte,Right to Education (RTE) Act,Central,Children aged 6-14 years
3,"बेटी बचाओ, बेटी पढ़ाओ योजना का उद्देश्य क्या है?","What is the objective of Beti Bachao, Beti Padhao scheme?",इसका उद्देश्य बालिकाओं की शिक्षा को बढ़ावा देना और बाल लिंगानुपात में गिरावट को रोकना है।,It aims to promote the education of girls and address the declining child sex ratio.,Education,Easy,2015,https://www.ibef.org/government-schemes/beti-bachao-beti-padhao,"Beti Bachao, Beti Padhao",Central,Girl children
4,राष्ट्रीय माध्यमिक शिक्षा अभियान (RMSA) क्या है?,What is Rashtriya Madhyamik Shiksha Abhiyan (RMSA)?,इसका उद्देश्य माध्यमिक शिक्षा तक पहुंच बढ़ाना और इसकी गुणवत्ता में सुधार करना है।,It aims to enhance access to secondary education and improve its quality.,Education,Medium,2009,https://samagra.education.gov.in/,Rashtriya Madhyamik Shiksha Abhiyan,Central,Secondary school students
5,कस्तूरबा गांधी बालिका विद्यालय (KGBV) योजना क्या है?,What is Kasturba Gandhi Balika Vidyalaya (KGBV) scheme?,यह वंचित समुदायों की लड़कियों के लिए उच्च प्राथमिक स्तर पर आवासीय विद्यालय प्रदान करता है।,It provides residential schools at the upper primary level for girls from disadvantaged communities.,Education,Medium,2004,https://samagra.education.gov.in/,Kasturba Gandhi Balika Vidyalaya,Central,Girls from disadvantaged communities
6,राष्ट्रीय साधन-सह-योग्यता छात्रवृत्ति (NMMS) क्या है?,What is National Means-cum-Merit Scholarship (NMMS)?,यह आर्थिक रूप से कमजोर वर्गों के मेधावी छात्रों को कक्षा 8 के बाद पढ़ाई छोड़ने से रोकने के लिए छात्रवृत्ति प्रदान करता है।,It provides scholarships to meritorious students from economically weaker sections to arrest their dropout at class 8.,Education,Medium,2008,https://scholarships.gov.in/,National Means-cum-Merit Scholarship,Central,Meritorious students from EWS
7,पीएम-विद्यालक्ष्मी योजना क्या है?,What is PM-Vidyalakshmi Scheme?,यह उच्च शिक्षा ऋण के लिए जानकारी और आवेदन तक आसान पहुंच प्रदान करने वाला एक ऑनलाइन प्लेटफॉर्म है।,It is an online platform providing easy access to information and applications for higher education loans.,Education,Easy,2015,https://pmvidyalaxmi.co.in/,PM-Vidyalakshmi Scheme,Central,Higher education students
8,सर्व शिक्षा अभियान (SSA) का लक्ष्य क्या है?,What is the goal of Sarva Shiksha Abhiyan (SSA)?,इसका उद्देश्य 6-14 वर्ष के बच्चों को सार्वभौमिक प्रारंभिक शिक्षा प्रदान करना है।,It aims to provide universal elementary education to children aged 6-14 years.,Education,Easy,2001,https://samagra.education.gov.in/,Sarva Shiksha Abhiyan,Central,Children aged 6-14 years
9,NPEGEL योजना क्या है?,What is the NPEGEL scheme?,यह वंचित समुदायों की लड़कियों तक पहुंचने और उनकी शिक्षा बढ़ाने के लिए एक केंद्रित हस्तक्षेप है।,It is a focused intervention to reach girls from disadvantaged communities and enhance their education.,Education,Hard,2003,https://samagra.education.gov.in/,NPEGEL,Central,Girls from disadvantaged communities
10,माध्यमिक शिक्षा के लिए लड़कियों को प्रोत्साहन की राष्ट्रीय योजना क्या है?,What is National Scheme of Incentives to Girls for Secondary Education?,यह अनुसूचित जाति/अनुसूचित जनजाति की लड़कियों को माध्यमिक विद्यालय में नामांकन के लिए वित्तीय प्रोत्साहन प्रदान करता है।,It provides financial incentives to SC/ST girls to enroll in secondary school.,Education,Medium,2008,https://scholarships.gov.in/,NSIGSE,Central,SC/ST girls
11,सीबीएसई उड़ान कार्यक्रम क्या है?,What is CBSE Udaan Program?,यह आर्थिक रूप से कमजोर छात्राओं को इंजीनियरिंग प्रवेश परीक्षाओं की तैयारी के लिए मुफ्त संसाधन प्रदान करता है।,It provides free resources to female students from economically disadvantaged backgrounds to prepare for engineering entrance exams.,Education,Medium,2014,https://www.govtschemes.in/cbse-udaan-scheme,CBSE Udaan Program,Central,Female engineering aspirants
12,पीएम श्री स्कूल योजना क्या है?,What is PM SHRI Schools scheme?,यह राष्ट्रीय शिक्षा नीति 2020 के कार्यान्वयन को प्रदर्शित करने के लिए 14500 से अधिक स्कूलों को विकसित करने की एक पहल है।,It is an initiative to develop more than 14500 schools to showcase the implementation of the National Education Policy 2020.,Education,Easy,2022,https://pmshrischools.education.gov.in/,PM SHRI Schools,Central,School students
13,एकलव्य मॉडल आवासीय विद्यालय (EMRS) क्या हैं?,What are Eklavya Model Residential Schools (EMRS)?,ये दूरस्थ क्षेत्रों में अनुसूचित जनजाति के छात्रों को गुणवत्तापूर्ण शिक्षा प्रदान करने के लिए स्थापित आवासीय विद्यालय हैं।,These are residential schools established to provide quality education to Scheduled Tribe students in remote areas.,Education,Medium,1997,https://tribal.nic.in/EMRS.aspx,Eklavya Model Residential Schools,Central,ST students
14,प्रगति छात्रवृत्ति योजना क्या है?,What is Pragati Scholarship for Girls?,यह एआईसीटीई-अनुमोदित संस्थानों में तकनीकी शिक्षा प्राप्त करने वाली लड़कियों को वित्तीय सहायता प्रदान करता है।,It provides financial assistance to girls pursuing technical education in AICTE-approved institutions.,Education,Easy,2014,https://www.aicte-india.org/schemes/students-development-schemes,Pragati Scholarship for Girls,Central,Girl students in technical education
15,सक्षम छात्रवृत्ति योजना क्या है?,What is Saksham Scholarship Scheme?,यह विकलांग छात्रों को उच्च शिक्षा प्राप्त करने के लिए वित्तीय सहायता प्रदान करता है।,It provides financial support for students with disabilities to pursue higher education.,Education,Easy,2014,https://www.aicte-india.org/schemes/students-development-schemes,Saksham Scholarship Scheme,Central,Students with disabilities
16,पोस्ट मैट्रिक छात्रवृत्ति योजना क्या है?,What is Post Matric Scholarship Scheme?,"यह कक्षा 10 के बाद पढ़ने वाले अल्पसंख्यक, अनुसूचित जाति, अनुसूचित जनजाति और अन्य पिछड़ा वर्ग के छात्रों को वित्तीय सहायता प्रदान करता है।","It provides financial support to minority, SC, ST, and OBC students studying after class 10.",Education,Easy,2006,https://scholarships.gov.in/,Post Matric Scholarship Scheme,Central,SC/ST/OBC/Minority students
17,प्री मैट्रिक छात्रवृत्ति योजना क्या है?,What is Pre Matric Scholarship Scheme?,यह कक्षा 1 से 10 तक पढ़ने वाले छात्रों को स्कूल छोड़ने की दर कम करने के लिए वित्तीय सहायता प्रदान करता है।,It provides financial assistance to students from class 1 to 10 to reduce dropout rates.,Education,Easy,2008,https://scholarships.gov.in/,Pre Matric Scholarship Scheme,Central,School students (Class 1-10)
18,केंद्रीय क्षेत्र छात्रवृत्ति योजना (CSSS) क्या है?,What is Central Sector Scholarship Scheme (CSSS)?,यह कक्षा 12 की बोर्ड परीक्षाओं में शीर्ष 20 प्रतिशत में रहने वाले छात्रों को कॉलेज शिक्षा के लिए छात्रवृत्ति प्रदान करता है।,It provides scholarships for college education to students in the top 20 percentile in Class 12 board exams.,Education,Medium,2008,https://scholarships.gov.in/,Central Sector Scholarship Scheme,Central,Top 20 percentile students in Class 12
19,स्किल इंडिया डिजिटल प्रोग्राम क्या है?,What is Skill India Digital Programs?,यह बेहतर रोजगार के लिए छात्रों और युवाओं को मुफ्त या रियायती कौशल प्रशिक्षण प्रदान करता है।,It provides free or subsidized skill training to students and youth for better employability.,Education,Easy,2015,https://www.skillindiadigital.gov.in/,Skill India Digital Programs,Central,Students and youth
