Unnamed: 0,question,question_english,answer,answer_english,category,difficulty_level,launched_year,official_website,scheme_name,state_or_central,target_beneficiary
1,वन नेशन वन सब्सक्रिप्शन क्या है?,What is One Nation One Subscription?,यह भारत में एक डिजिटल लाइब्रेरी है जो विभिन्न शैक्षणिक विषयों में वैश्विक शोध तक संस्थागत पहुंच प्रदान करती है।,It is a digital library in India with institutional access to global research in various academic disciplines.,Education,Easy,2025,https://www.education.gov.in/,One Nation One Subscription,Central,Students and Researchers
2,पीएम विश्वकर्मा योजना क्या है?,What is PM Vishwakarma scheme?,यह कारीगरों और शिल्पकारों के उत्पादों और सेवाओं की गुणवत्ता और पहुंच में सुधार करने के लिए एक योजना है।,It aims at improving the quality as well as the reach of products and services of artisans and craftspeople.,MSME,Easy,2023,https://pmvishwakarma.gov.in/,PM Vishwakarma,Central,Artisans and craftspeople
3,अमृत भारत स्टेशन योजना का उद्देश्य क्या है?,What is the objective of Amrit Bharat Station Scheme?,मौजूदा रेलवे स्टेशनों का पुनर्विकास करना और उन्हें यात्रियों के लिए अधिक आरामदायक और सुविधाजनक बनाना।,Scheme to redevelop existing railway stations and make stations more comfortable and convenient for passengers.,Transportation,Medium,2023,https://indianrailways.gov.in/,Amrit Bharat Station Scheme,Central,Railway Passengers
4,पीएम ई-बस सेवा क्या है?,What is PM eBus Seva?,"यह पीपीपी मॉडल के तहत 10,000 इलेक्ट्रिक बसों को तैनात करके सार्वजनिक परिवहन का समर्थन करता है।","It supports public transport by deploying 10,000 electric buses under a PPP model.",Urban Transport,Easy,2023,https://mohua.gov.in/,PM eBus Seva,Central,Urban Commuters
5,महिला सम्मान बचत प्रमाण पत्र क्या है?,What is Mahila Samman Savings Certificate?,यह भारत में महिलाओं और लड़कियों के लिए 2023 के बजट में शुरू की गई एक छोटी बचत योजना है।,It is a small savings scheme launched in Budget 2023 for women and girls in India.,Finance,Easy,2023,https://www.indiapost.gov.in/,Mahila Samman Savings Certificate,Central,Women and Girls
6,अग्निपथ योजना क्या है?,What is Agnipath Scheme?,सशस्त्र बलों की तीन शाखाओं में कमीशन प्राप्त अधिकारियों के पद से नीचे के सैनिकों की भर्ती के लिए एक योजना।,A scheme for recruiting soldiers below the rank of commissioned officers into the three branches of the armed forces.,Defense,Medium,2022,https://mod.gov.in/,Agnipath Scheme,Central,Youth
7,पीएम पोषण योजना क्या है?,What is PM POSHAN scheme?,स्कूली बच्चों को मुफ्त दोपहर का भोजन उपलब्ध कराने के लिए 1995 की मध्याह्न भोजन योजना का नया रूप।,Revamped version of 1995 Midday Meal Scheme to provide free lunch to school children.,Health/Education,Easy,2021,https://pmposhan.education.gov.in/,PM Poshan,Central,School Children
8,पीएम स्वनिधि योजना क्या है?,What is PM SVANidhi scheme?,यह शहरी क्षेत्रों में स्ट्रीट वेंडर्स को कार्यशील पूंजी ऋण प्रदान करता है।,Provides working capital loans to street vendors in urban areas.,Urban Development,Easy,2020,https://pmsvanidhi.mohua.gov.in/,PM SVANidhi,Central,Street Vendors
9,STARS योजना का लक्ष्य क्या है?,What is the goal of STARS scheme?,10 मिलियन शिक्षकों को कवर करते हुए छह राज्यों में स्कूली शिक्षा में सुधार करना।,To improve school education in six states covering 10 million teachers.,Education,Hard,2020,https://www.education.gov.in/,STARS Scheme,Central,Teachers and Students
10,स्वामित्व योजना क्या है?,What is Svamitva Yojana?,ड्रोन की मदद से गांवों में संपत्तियों की मैपिंग में मदद करना।,To help in mapping of properties in villages with the help of drones.,Rural Development,Medium,2020,https://svamitva.nic.in/,Svamitva Yojana,Central,Rural Property Owners
11,गरीब कल्याण रोजगार अभियान क्या है?,What is Garib Kalyan Rojgar Abhiyaan?,कोरोनावायरस महामारी के बाद गरीबों के लिए रोजगार अभियान।,Employment campaign for the poor following coronavirus pandemic.,Employment,Easy,2020,[link removed],Garib Kalyan Rojgar Abhiyaan,Central,Poor and Migrant Workers
12,पीएम मत्स्य संपदा योजना क्या है?,What is PM Matsya Sampada Yojana?,मत्स्य पालन क्षेत्र में किसानों के लिए राष्ट्रव्यापी कल्याणकारी उपाय।,Nationwide welfare measures for farmers in the fisheries sector.,Fisheries,Medium,2020,https://pmmsy.dof.gov.in/,PM Matsya Sampada Yojana,Central,Fishermen
13,पीएम किसान सम्मान निधि क्या है?,What is PM Kisan Samman Nidhi?,"प्रत्यक्ष लाभ हस्तांतरण के माध्यम से पात्र किसानों को प्रति वर्ष ₹6,000 की आय सहायता।","Income support of ₹6,000 per year to eligible farmers through Direct Benefit Transfer.",Agriculture,Easy,2019,https://pmkisan.gov.in/,PM Kisan Samman Nidhi,Central,Farmers
14,जल जीवन मिशन क्या है?,What is Jal Jeevan Mission?,प्रत्येक ग्रामीण परिवार को व्यक्तिगत नल के माध्यम से पानी उपलब्ध कराना।,To provide water to each rural household through individual taps.,Rural Development,Easy,2019,https://jaljeevanmission.gov.in/,Jal Jeevan Mission,Central,Rural Households
15,पीएम आवास योजना क्या है?,What is PM Awas Yojana?,सभी के लिए किफायती आवास उपलब्ध कराने की योजना।,Scheme for providing affordable housing for all.,Housing,Easy,2015,https://pmaymis.gov.in/,PM Awas Yojana,Central,Urban and Rural Poor
16,मुद्रा योजना क्या है?,What is Mudra Yojana?,छोटे व्यवसायों और उद्यमियों को वित्तीय सहायता प्रदान करना।,Financial support to small businesses and entrepreneurs.,Finance,Medium,2015,https://www.mudra.org.in/,Mudra Yojana,Central,Small Entrepreneurs
17,पीएम श्रम योगी मान-धन क्या है?,What is PM Shram Yogi Maan-Dhan?,"असंगठित श्रमिकों के लिए 60 वर्ष की आयु के बाद ₹3,000/माह पेंशन।","₹3,000/month pension after age 60 for unorganised workers.",Pension,Medium,2019,https://maandhan.in/,PM Shram Yogi Maan-Dhan,Central,Unorganised Workers
